Scan Primary,Scan QC,Starts With,Contains text
Y,Y,ERROR,
Y,Y,WARNING,
Y,Y,SELF NOTE:,
Y,Y,SELF WARNING:,
Y,Y,SELF ERROR:,
Y,,NOTE,0 LINES
Y,,NOTE,"0 OBSERVATIONS REWRITTEN, 0 OBSERVATIONS ADDED AND 0 OBSERVATIONS DELETED"
Y,,NOTE,ABNORMALLY TERMINATED
Y,,NOTE,ACCESS DENIED
Y,,NOTE,ALLOWED
Y,,NOTE,ALREADY BEEN DEFINED
Y,,NOTE,AMBIGUOUS
Y,,NOTE,APPARENT INVOCATION
Y,,NOTE,APPARENT SYMBOLIC
Y,,NOTE,APPEARS AS TEXT
Y,,NOTE,ARE NOT ALLOWED
Y,,NOTE,ARGUMENT 1
Y,,NOTE,ARGUMENT 2
Y,,NOTE,ARGUMENT 3
Y,,NOTE,ARGUMENT TO FUNCTION
Y,,NOTE,ASSUMED
Y,,NOTE,ASSUMING
Y,,NOTE,AT LEAST
Y,,NOTE,BUT APPEARS ON
Y,,NOTE,BUT IS NOT
Y,,NOTE,BUT NO
Y,,NOTE,BY-GROUP
Y,,NOTE,CANNOT BE ACCESSED
Y,,NOTE,CANNOT BE DELETED
Y,,NOTE,CANNOT BE FOUND
Y,,NOTE,CANNOT BE LOADED
Y,,NOTE,CANNOT OPEN
Y,,NOTE,CENTRAL PARAMETER
Y,,NOTE,CHARACTER IN ONE
Y,,NOTE,CHARACTER VALUES HAVE BEEN CONVERTED TO
Y,,NOTE,CLAUSE HAS BEEN AUGMENTED
Y,,NOTE,CLAUSE REFERENCES
Y,,NOTE,CLI ERROR
Y,,NOTE,CLOSING
Y,,NOTE,COLUMNS WERE TOO WIDE
Y,,NOTE,CONDITION IN THE
Y,,NOTE,CONFLICTING ATTRIBUTES
Y,,NOTE,CONTAIN NO DATA IN COMMON
Y,,NOTE,CONTAIN UNEQUAL
Y,,NOTE,CONTAINS 1 VARIABLE
Y,,NOTE,COULD NOT BE FIT
Y,,NOTE,COULD NOT BE FOUND
Y,,NOTE,COULD NOT BE LOADED
Y,,NOTE,COULD NOT BE WRITTEN
Y,,NOTE,CREATES A COMMON
